model,layer,representation,Representation,Condition,same_relation_group_rdm_corr,same_relation_group_rdm_std
openai-community/gpt2,1,standard,Neutral,No Ablation,0.28637720712707704,0.47372636264690476
openai-community/gpt2,1,standard,Neutral,Idiomaticity Ablation,0.10005950610464139,0.5812445596263575
openai-community/gpt2,1,standard,Neutral,Random Ablation,0.21737065119284163,0.5687392071189448
openai-community/gpt2,1,context,Figurative,No Ablation,0.2794765515336535,0.5654644109048775
openai-community/gpt2,1,context,Figurative,Idiomaticity Ablation,0.19321835661585923,0.6081196624098945
openai-community/gpt2,1,context,Figurative,Random Ablation,0.26567524034680645,0.5844309401542016
openai-community/gpt2,1,no_context,Literal,No Ablation,0.2831283689837983,0.5820188052819122
openai-community/gpt2,1,no_context,Literal,Idiomaticity Ablation,0.1830688628791569,0.6338942545077327
openai-community/gpt2,1,no_context,Literal,Random Ablation,0.2451747632199688,0.5588992101234989
openai-community/gpt2,2,standard,Neutral,No Ablation,0.21737065119284163,0.5586015702499542
openai-community/gpt2,2,standard,Neutral,Idiomaticity Ablation,0.16561573424216505,0.5422176684690385
openai-community/gpt2,2,standard,Neutral,Random Ablation,0.20011901220928277,0.555449196168119
openai-community/gpt2,2,context,Figurative,No Ablation,0.22427130678626517,0.5685717276859706
openai-community/gpt2,2,context,Figurative,Idiomaticity Ablation,0.196668684412571,0.61461369981477
openai-community/gpt2,2,context,Figurative,Random Ablation,0.27602622373694174,0.6137317546507324
openai-community/gpt2,2,no_context,Literal,No Ablation,0.20377082965942753,0.5665301762276633
openai-community/gpt2,2,no_context,Literal,Idiomaticity Ablation,0.1830688628791569,0.6236704121896207
openai-community/gpt2,2,no_context,Literal,Random Ablation,0.2658767300002394,0.6361176769263384
openai-community/gpt2,3,standard,Neutral,No Ablation,0.24152294576982403,0.5990071149907353
openai-community/gpt2,3,standard,Neutral,Idiomaticity Ablation,0.12076147288491201,0.4800173607971557
openai-community/gpt2,3,standard,Neutral,Random Ablation,0.2518739291599593,0.5333072910308528
openai-community/gpt2,3,context,Figurative,No Ablation,0.3312314684843301,0.5930550444219203
openai-community/gpt2,3,context,Figurative,Idiomaticity Ablation,0.24842360136324756,0.6400892794870774
openai-community/gpt2,3,context,Figurative,Random Ablation,0.2829268793303653,0.6380401539834607
openai-community/gpt2,3,no_context,Literal,No Ablation,0.3107309913574925,0.5995804126037285
openai-community/gpt2,3,no_context,Literal,Idiomaticity Ablation,0.25207541881339235,0.6394818017947749
openai-community/gpt2,3,no_context,Literal,Random Ablation,0.2658767300002394,0.6155740517467219
openai-community/gpt2,4,standard,Neutral,No Ablation,0.44164195797910677,0.5799835794063075
openai-community/gpt2,4,standard,Neutral,Idiomaticity Ablation,0.1690660620388768,0.5091893650929972
openai-community/gpt2,4,standard,Neutral,Random Ablation,0.3519334352646008,0.5117197893937101
openai-community/gpt2,4,context,Figurative,No Ablation,0.469244580352801,0.5578871707057758
