model,model_title,layer,representation,Representation,Condition,same_relation_group_rdm_corr,same_relation_group_rdm_std
openai-community/gpt2-medium,GPT-2 Medium,1,standard,Neutral,No Ablation,0.1449137674618944,0.5441900928378404
openai-community/gpt2-medium,GPT-2 Medium,1,standard,Neutral,Idiomaticity Ablation,0.196668684412571,0.5076908508137605
openai-community/gpt2-medium,GPT-2 Medium,1,standard,Neutral,Random Ablation,0.11731114508820024,0.5104153304161324
openai-community/gpt2-medium,GPT-2 Medium,2,standard,Neutral,No Ablation,0.18976802881914745,0.5375761297138252
openai-community/gpt2-medium,GPT-2 Medium,2,standard,Neutral,Idiomaticity Ablation,0.18631770102243567,0.5300943312279429
openai-community/gpt2-medium,GPT-2 Medium,2,standard,Neutral,Random Ablation,0.1690660620388768,0.5021264306735431
openai-community/gpt2-medium,GPT-2 Medium,3,standard,Neutral,No Ablation,0.2104699955994181,0.571328860348107
openai-community/gpt2-medium,GPT-2 Medium,3,standard,Neutral,Idiomaticity Ablation,0.14146343966518266,0.5325030739906803
openai-community/gpt2-medium,GPT-2 Medium,3,standard,Neutral,Random Ablation,0.15871507864874151,0.5835441795818118
openai-community/gpt2-medium,GPT-2 Medium,4,standard,Neutral,No Ablation,0.26567524034680645,0.5868702298350691
openai-community/gpt2-medium,GPT-2 Medium,4,standard,Neutral,Idiomaticity Ablation,0.1690660620388768,0.5958087740526279
openai-community/gpt2-medium,GPT-2 Medium,4,standard,Neutral,Random Ablation,0.15181442305531795,0.6232021761683383
openai-community/gpt2-medium,GPT-2 Medium,5,standard,Neutral,No Ablation,0.3036288461106359,0.6204453085908388
openai-community/gpt2-medium,GPT-2 Medium,5,standard,Neutral,Idiomaticity Ablation,0.18976802881914745,0.5834523688071434
openai-community/gpt2-medium,GPT-2 Medium,5,standard,Neutral,Random Ablation,0.2518739291599593,0.625747172434302
openai-community/gpt2-medium,GPT-2 Medium,6,standard,Neutral,No Ablation,0.40368835221527727,0.5624245981208759
openai-community/gpt2-medium,GPT-2 Medium,6,standard,Neutral,Idiomaticity Ablation,0.25877458475338294,0.6206275625756335
openai-community/gpt2-medium,GPT-2 Medium,6,standard,Neutral,Random Ablation,0.34158245187446545,0.5539791125510575
openai-community/gpt2-medium,GPT-2 Medium,7,standard,Neutral,No Ablation,0.43129097458897153,0.5558669762075233
openai-community/gpt2-medium,GPT-2 Medium,7,standard,Neutral,Idiomaticity Ablation,0.3312314684843301,0.6427618977061857
openai-community/gpt2-medium,GPT-2 Medium,7,standard,Neutral,Random Ablation,0.3450327796711772,0.5863527298559494
openai-community/gpt2-medium,GPT-2 Medium,8,standard,Neutral,No Ablation,0.5209994973034776,0.5021264306735432
openai-community/gpt2-medium,GPT-2 Medium,8,standard,Neutral,Idiomaticity Ablation,0.3381321240777536,0.6152428866096784
openai-community/gpt2-medium,GPT-2 Medium,8,standard,Neutral,Random Ablation,0.4761452359462245,0.5158903537989998
openai-community/gpt2-medium,GPT-2 Medium,9,standard,Neutral,No Ablation,0.5348008084903246,0.5186406224333913
openai-community/gpt2-medium,GPT-2 Medium,9,standard,Neutral,Idiomaticity Ablation,0.3898870410284302,0.5770512067729305
openai-community/gpt2-medium,GPT-2 Medium,9,standard,Neutral,Random Ablation,0.4933968749297834,0.5197412359828231
openai-community/gpt2-medium,GPT-2 Medium,10,standard,Neutral,No Ablation,0.5624034308640188,0.46459147441084
openai-community/gpt2-medium,GPT-2 Medium,10,standard,Neutral,Idiomaticity Ablation,0.4209399911988362,0.5731699656505124
openai-community/gpt2-medium,GPT-2 Medium,10,standard,Neutral,Random Ablation,0.5106485139133422,0.5077494695315042
openai-community/gpt2-medium,GPT-2 Medium,11,standard,Neutral,No Ablation,0.6176086756114072,0.41831578411302545
openai-community/gpt2-medium,GPT-2 Medium,11,standard,Neutral,Idiomaticity Ablation,0.4623439247593774,0.5336754854867553
openai-community/gpt2-medium,GPT-2 Medium,11,standard,Neutral,Random Ablation,0.5796550698475776,0.4136941589421553
openai-community/gpt2-medium,GPT-2 Medium,12,standard,Neutral,No Ablation,0.6141583478146954,0.41912607490666426
openai-community/gpt2-medium,GPT-2 Medium,12,standard,Neutral,Idiomaticity Ablation,0.5313504806936129,0.49043226802873574
openai-community/gpt2-medium,GPT-2 Medium,12,standard,Neutral,Random Ablation,0.6245093312048307,0.4008770147468934
openai-community/gpt2-medium,GPT-2 Medium,13,standard,Neutral,No Ablation,0.6590126091719485,0.3770025893557662
openai-community/gpt2-medium,GPT-2 Medium,13,standard,Neutral,Idiomaticity Ablation,0.5727544142541541,0.4726319417696528
openai-community/gpt2-medium,GPT-2 Medium,13,standard,Neutral,Random Ablation,0.6417609701883895,0.36390736654892203
openai-community/gpt2-medium,GPT-2 Medium,14,standard,Neutral,No Ablation,0.6521119535785248,0.4102699459763396
openai-community/gpt2-medium,GPT-2 Medium,14,standard,Neutral,Idiomaticity Ablation,0.5624034308640188,0.4797196601984877
openai-community/gpt2-medium,GPT-2 Medium,14,standard,Neutral,Random Ablation,0.6624629369686602,0.3680062111277084
openai-community/gpt2-medium,GPT-2 Medium,15,standard,Neutral,No Ablation,0.6417609701883895,0.39587155203965557
openai-community/gpt2-medium,GPT-2 Medium,15,standard,Neutral,Idiomaticity Ablation,0.5555027752705952,0.4788254478657224
openai-community/gpt2-medium,GPT-2 Medium,15,standard,Neutral,Random Ablation,0.6417609701883896,0.3773971004506679
openai-community/gpt2-medium,GPT-2 Medium,16,standard,Neutral,No Ablation,0.6245093312048307,0.4044249297577041
openai-community/gpt2-medium,GPT-2 Medium,16,standard,Neutral,Idiomaticity Ablation,0.5693040864574423,0.46694294542879045
openai-community/gpt2-medium,GPT-2 Medium,16,standard,Neutral,Random Ablation,0.6245093312048307,0.37889249637532263
openai-community/gpt2-medium,GPT-2 Medium,17,standard,Neutral,No Ablation,0.6383106423916779,0.39693768252651934
openai-community/gpt2-medium,GPT-2 Medium,17,standard,Neutral,Idiomaticity Ablation,0.5831053976442894,0.4543310100209612
openai-community/gpt2-medium,GPT-2 Medium,17,standard,Neutral,Random Ablation,0.6383106423916778,0.3689592828225798
openai-community/gpt2-medium,GPT-2 Medium,18,standard,Neutral,No Ablation,0.6176086756114072,0.395495469843419
openai-community/gpt2-medium,GPT-2 Medium,18,standard,Neutral,Idiomaticity Ablation,0.5934563810344248,0.4399134113934349
openai-community/gpt2-medium,GPT-2 Medium,18,standard,Neutral,Random Ablation,0.634860314594966,0.3622679881497885
openai-community/gpt2-medium,GPT-2 Medium,19,standard,Neutral,No Ablation,0.6107080200179834,0.3935642986131455
openai-community/gpt2-medium,GPT-2 Medium,19,standard,Neutral,Idiomaticity Ablation,0.5831053976442894,0.41831578411302545
openai-community/gpt2-medium,GPT-2 Medium,19,standard,Neutral,Random Ablation,0.6383106423916778,0.35914912673998706
openai-community/gpt2-medium,GPT-2 Medium,20,standard,Neutral,No Ablation,0.6245093312048307,0.35353655431665804
